Topic,Words,Frequency,Timestamp,Name
-1,"action, scene, camera",120,2023-12-31 15:14:24,-1_scene_action_camera
0,"segmentation, medical, tumor",79,2023-12-31 15:14:24,0_segmentation_medical_mri
1,"i2v, editing, subject",24,2023-12-31 15:14:24,1_editing_edit_t2v
2,"robot, policy, manipulation",15,2023-12-31 15:14:24,2_robot_policy_manipulation
3,"facial, expression, identity",16,2023-12-31 15:14:24,3_facial_head_talk
4,"rendering, gaussian, event",10,2023-12-31 15:14:24,4_gaussian_scene_splatting
5,"forgery, attack, multimedia",6,2023-12-31 15:14:24,5_deepfake_attack_adversarial
6,"super, gan, vsr",10,2023-12-31 15:14:24,6_super_sr_restoration
7,"climate, traffic, gi",7,2023-12-31 15:14:24,7_traffic_forecasting_graph
8,"retrieval, caption, query",6,2023-12-31 15:14:24,8_caption_captioning_retrieval
9,"compression, codec, perceptual",7,2023-12-31 15:14:24,9_compression_codec_coding
10,"electron, quantum, photonic",7,2023-12-31 15:14:24,10_quantum_vortex_wave
11,"audio, sound, foley",7,2023-12-31 15:14:24,11_audio_sound_music
12,"question, reasoning, answer",4,2023-12-31 15:14:24,12_question_reasoning_answer
13,"hyperspectral, spectral, pan",2,2023-12-31 15:14:24,13_hyperspectral_spectral_hsi
14,"sar, sentinel, ship",9,2023-12-31 15:14:24,14_sar_radar_satellite
15,"action, fall, untrimmed",3,2023-12-31 15:14:24,15_action_activity_vocabulary
16,"segmentation, tracking, spotter",4,2023-12-31 15:14:24,16_tracking_segmentation_vos
17,"surgical, surgery, mis",7,2023-12-31 15:14:24,17_surgical_surgery_sam
18,"timeline, guess, dance",3,2023-12-31 15:14:24,18_character_synthesis_body
19,"assessment, subjective, biqa",5,2023-12-31 15:14:24,19_assessment_vqa_iqa
20,"occupancy, driving, cue",1,2023-12-31 15:14:24,20_driving_autonomous_traffic
21,"rgb, rgbd, around",1,2023-12-31 15:14:24,21_monocular_scene_estimation
22,"genai, claim, news",3,2023-12-31 15:14:24,22_recommendation_social_medium
23,"egocentric, hoi, taco",4,2023-12-31 15:14:24,23_egocentric_grasp_bimanual
24,"software, llm, platform",5,2023-12-31 15:14:24,24_llm_geospatial_student
25,"anomaly, occ, vad",4,2023-12-31 15:14:24,25_anomaly_vad_normal
26,"confusion, conflict, collaborative",2,2023-12-31 15:14:24,26_emotion_expression_facial
27,"token, fps, kinetics",2,2023-12-31 15:14:24,27_token_vit_tokenization
28,"sign, gloss, slr",2,2023-12-31 15:14:24,28_sign_gloss_translation
29,"communication, wireless, qoe",4,2023-12-31 15:14:24,29_communication_wireless_transmission
31,"coronal, rain, gravitational",4,2023-12-31 15:14:24,31_pulsar_star_gravitational
32,"estimation, camera, rgbd",2,2023-12-31 15:14:24,32_estimation_occlusion_camera
-1,"scene, cloud, event",109,2024-01-31 10:00:00,-1_scene_action_camera
0,"medical, segmentation, mri",79,2024-01-31 10:00:00,0_segmentation_medical_mri
1,"editing, colorization, color",23,2024-01-31 10:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",30,2024-01-31 10:00:00,2_robot_policy_manipulation
3,"facial, avatar, head",15,2024-01-31 10:00:00,3_facial_head_talk
4,"gaussian, splatting, grid",7,2024-01-31 10:00:00,4_gaussian_scene_splatting
5,"attack, adversarial, deepfake",16,2024-01-31 10:00:00,5_deepfake_attack_adversarial
6,"sr, super, graph",12,2024-01-31 10:00:00,6_super_sr_restoration
7,"equation, forecasting, mobility",10,2024-01-31 10:00:00,7_traffic_forecasting_graph
8,"caption, moment, retrieval",4,2024-01-31 10:00:00,8_caption_captioning_retrieval
9,"compression, codec, bit",15,2024-01-31 10:00:00,9_compression_codec_coding
10,"fractional, ultrafast, st",8,2024-01-31 10:00:00,10_quantum_vortex_wave
11,"audio, rir, sound",3,2024-01-31 10:00:00,11_audio_sound_music
12,"llms, slot, reasoning",6,2024-01-31 10:00:00,12_question_reasoning_answer
13,"hyperspectral, unmixing, spectral",7,2024-01-31 10:00:00,13_hyperspectral_spectral_hsi
14,"sar, crop, ship",4,2024-01-31 10:00:00,14_sar_radar_satellite
15,"taylor, action, clip",2,2024-01-31 10:00:00,15_action_activity_vocabulary
16,"tracking, vs, vos",3,2024-01-31 10:00:00,16_tracking_segmentation_vos
17,"intraoperative, surgical, surgery",2,2024-01-31 10:00:00,17_surgical_surgery_sam
19,"assessment, database, subjective",7,2024-01-31 10:00:00,19_assessment_vqa_iqa
20,"accident, driving, vehicle",3,2024-01-31 10:00:00,20_driving_autonomous_traffic
21,"gim, line, matching",3,2024-01-31 10:00:00,21_monocular_scene_estimation
22,"app, shorts, bot",7,2024-01-31 10:00:00,22_recommendation_social_medium
23,"contact, radiance, canonical",1,2024-01-31 10:00:00,23_egocentric_grasp_bimanual
24,"job, instruction, demo",2,2024-01-31 10:00:00,24_llm_geospatial_student
25,"cheat, posture, anomaly",1,2024-01-31 10:00:00,25_anomaly_vad_normal
26,"emotion, vector, classifier",1,2024-01-31 10:00:00,26_emotion_expression_facial
27,"fpga, vit, times",3,2024-01-31 10:00:00,27_token_vit_tokenization
28,"sign, translation, isolated",3,2024-01-31 10:00:00,28_sign_gloss_translation
29,"wi, fi, vr",1,2024-01-31 10:00:00,29_communication_wireless_transmission
30,"game, personality, logistic",3,2024-01-31 10:00:00,30_game_player_llm
31,"plasma, galaxy, mir",4,2024-01-31 10:00:00,31_pulsar_star_gravitational
32,"bed, estimation, rgb",1,2024-01-31 10:00:00,32_estimation_occlusion_camera
33,"rppg, ppg, photoplethysmography",3,2024-01-31 10:00:00,33_rppg_physiological_remote
-1,"scene, action, cloud",204,2024-03-01 20:00:00,-1_scene_action_camera
0,"segmentation, medical, mri",155,2024-03-01 20:00:00,0_segmentation_medical_mri
1,"editing, edit, t2v",51,2024-03-01 20:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",46,2024-03-01 20:00:00,2_robot_policy_manipulation
3,"head, facial, talk",23,2024-03-01 20:00:00,3_facial_head_talk
4,"gaussian, scene, splatting",29,2024-03-01 20:00:00,4_gaussian_scene_splatting
